"CAS","Name","study_pk","route","study_duration","reliability","dummy","Jahr","adrenal.gland","Adrenal.gland_Weight.increased","bladder","body.weight","Body.weight.decreased","body.weight.gain.decreased","bone","bone.marrow","brain","ClinChem_Hepatotox","ClinChem_Nephrotox","CNS","female.reproductive.organ","haematology","haematopoiesis","heart","intestine","kidney","Kidney_degeneration","Kidney_Inflammation.Regeneration","Kidney_rat_specific_nephropathy","kidney_weight_increased","liver","Liver_Degeneration","Liver_hypertrophy","liver_inflammation..regeneration","Liver_weight_increased","male.accessory.gland","male.reproductive.organ","male.reproductive.organ_degeneration","RBC","RBC_Erythrocytes","RBC_haematocrit","RBC_Haemoglobin","spleen","thymus","thyroid.gland","WBC","WBC_leucocytes","WBC_lymphocytes"
111308,"Glutaraldehyde",382,"inhalation",91,"A",,1981,,,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,,1,,,1,,1,,1,,,1,1
103719,"Phenyl isocyanate",985,"inhalation",28,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,1,1,,,,
115297,"Endosulfan",4402,"feed",91,"A",,1981,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,1,,,1,1,,,,,,,
17924924,"Zeralenone",4512,"feed",91,"B",,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
534521,"4,6-Dinitro-o-cresol",865,"feed",90,"B",,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,
99092,"3-Nitro-benzeneamine",2138,"gavage",28,"B",,,,,,,1,,,1,,,,,,2,,,,2,,,,1,,,1,,1,,1,1,1,,,,1,,,,,
98000,"Furfuryl alcohol",1701,"inhalation",98,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
121733,"m-Chloronitrobenzene",1688,"gavage",28,"A",,1981,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,1,,1,1,,1,1,1,1,,,,,
606202,"2,6-Dinitrotoluene",525,"feed",90,"B",,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,1,1,,1,,,,,,,,
6055523,"1,6-Hexanediamine Dihydrochloride",2457,"inhalation",91,"A",,1981,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,1,,1,1,1
599791,"Salicylazosulfapyridine",1868,"gavage",91,"A",,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,
121733,"m-Chloronitrobenzene",1685,"inhalation",91,"B",,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,1,,1,1,1,,,,1,1,,,,
80079,"p,p-Dichlorodiphenyl sulfone",1922,"feed",98,"A",,1998,,,,,1,,,,,,1,,,1,,,,,,1,,1,,,1,,1,,1,,,1,,1,,1,,,,
79345,"1,1,2,2-Tetrachloroethane",2112,"feed",98,"A",,1998,,,,,1,,2,,,,1,,1,1,,,,1,,,,1,1,1,2,1,1,1,1,1,,,,,2,2,,,,
592416,"1-Hexene",1182,"inhalation",90,"A",,1981,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,
129793,"Trinitrofluorenone",2034,"feed",91,"A",,1981,1,,,,1,,2,,1,,,,2,2,2,2,1,1,1,2,,1,2,,,2,1,2,1,2,1,,,2,,1,1,,,
79061,"Acrylamide",441,"drinking water",90,"A",,,,,1,,1,,,,1,,,1,1,,,1,,1,,,,1,,,,,1,1,1,1,,1,,1,,1,,,,
96184,"1,2,3-Trichloropropane",60,"gavage",90,"A",,1981,,,,,1,,,,1,,1,,,,,1,,,,,,1,1,,,,1,,1,,,,,,,,,,,
