ID;Class1;Class2;Class3;Class4;Class5;Class6;Class7;Class8;Class9;Class10;Class11;Class12;Class13;Class14
1000;0;;0;;;0;1;;0;0;0;1;;0
1001;0;;1;;;0;0;0;0;;0;;0;0
1002;;;1;0;;0;0;0;0;;;;;0
1003;;0;1;;;0;0;0;0;;;;;0
1004;;;1;;;1;;0;0;;0;0;;0
1005;0;;0;0;;0;0;0;;;1;;;0
1006;;;0;;;0;0;;0;;0;;;0
1007;;;1;;;0;;0;0;;;1;;0
1008;1;;0;;;0;0;0;0;0;;;;0
1009;;;1;;0;;0;0;0;0;0;;;0
1010;0;;0;;;1;;1;0;0;;;;0
1011;0;0;0;;;0;0;0;0;;1;;;0
1012;;;1;;;0;0;0;0;;0;;;0
1013;0;;0;;1;0;0;0;0;;0;;1;0
1014;;;0;;;0;0;;;;0;;0;0
1015;1;;1;1;;;0;0;0;;1;;;0
1016;0;;0;0;1;1;;0;0;0;0;;1;0
1017;;;0;;;0;0;0;0;0;;1;;
1018;;;;;1;0;0;0;0;;0;;;0
1019;;;1;;;0;0;0;0;;0;;;0
1020;;0;1;;;0;0;0;0;;0;;1;0
1021;;;0;;;0;0;0;0;;0;1;1;0
1022;;;0;;;1;;1;0;;0;;;0
1023;;;0;;;1;1;1;0;;;;;
1024;0;;1;;;1;0;0;0;;0;1;1;
1025;;;1;;;0;0;0;1;;0;;;
1026;;;0;;;1;1;1;0;;0;1;;0
1027;;;0;;1;;1;1;;;;;;0
1028;;1;0;;;1;;0;0;;0;;;
1029;;;0;;;1;1;0;0;;0;0;;0
1030;;;0;;;0;;0;0;;0;1;;0
1031;;;0;;;0;0;1;1;0;;;0;0
1032;;;1;;;0;0;0;0;;0;1;1;
1033;;;0;;;0;;0;;0;0;;;0
1034;;;1;;;1;;;0;1;;;;0
1035;;;1;;;0;0;0;0;0;;1;1;
1036;0;;1;;0;;1;;0;;0;;1;0
1037;1;;0;;;0;0;0;0;;0;;;0
1038;;;0;;;;1;;0;;1;;;0
1039;1;1;0;;;1;0;0;0;0;;1;1;0
1040;;;;0;;0;0;0;0;0;0;;;0
1041;;;0;;;;;;0;;0;;;0
1042;;;1;0;;0;0;;;;0;;;0
1043;;;;;;0;0;0;0;;;;;0
1044;0;;1;;;1;;0;0;0;;1;;
1045;0;;0;;;;;1;1;;;0;;0
1046;;;0;;;1;;;0;;;;;
1047;;;0;;;;1;1;1;;;;;0
1048;;;1;;;0;;0;0;;;;;0
